Date,Price,Open,High,Low,Volume,Change(%)
11 Aug 2021,16282.25,16327.3,16338.75,16162.55,277895886,0.01%
10 Aug 2021,16280.1,16274.8,16359.25,16202.25,287989486,0.13%
09 Aug 2021,16258.25,16281.35,16320.75,16179.05,240452917,0.12%
06 Aug 2021,16238.2,16304.4,16336.75,16223.3,320087281,-0.35%
05 Aug 2021,16294.6,16288.95,16349.45,16210.3,418174517,0.22%
04 Aug 2021,16258.8,16195.25,16290.2,16176.15,427337644,0.79%
03 Aug 2021,16130.75,15951.55,16146.9,15914.35,341289658,1.55%
02 Aug 2021,15885.15,15874.9,15892.9,15834.65,244847433,0.77%
30 Jul 2021,15763.05,15800.6,15862.8,15744.85,400021237,-0.10%
29 Jul 2021,15778.45,15762.7,15817.35,15737.8,401584915,0.44%
28 Jul 2021,15709.4,15761.55,15767.5,15513.45,318601589,-0.24%
27 Jul 2021,15746.45,15860.5,15881.55,15701,311012065,-0.49%
26 Jul 2021,15824.45,15849.3,15893.35,15797,267076679,-0.20%
23 Jul 2021,15856.05,15856.8,15899.8,15768.4,294098244,0.20%
22 Jul 2021,15824.05,15736.6,15834.8,15726.4,265250867,1.23%
20 Jul 2021,15632.1,15703.95,15728.45,15578.55,274284165,-0.76%
19 Jul 2021,15752.4,15754.5,15836.9,15707.5,242131813,-1.07%
16 Jul 2021,15923.4,15958.35,15962.25,15882.6,276298105,-0.01%
15 Jul 2021,15924.2,15872.15,15952.35,15855,284851049,0.44%
14 Jul 2021,15853.95,15808.7,15877.35,15764.2,239924352,0.26%
13 Jul 2021,15812.35,15794,15820.8,15744.6,246676549,0.76%
12 Jul 2021,15692.6,15766.8,15789.2,15644.75,216272488,0.02%
09 Jul 2021,15689.8,15688.25,15730.85,15632.75,243249366,-0.24%
08 Jul 2021,15727.9,15855.4,15885.75,15682.9,307928495,-0.96%
07 Jul 2021,15879.65,15819.6,15893.55,15779.7,329308646,0.39%
06 Jul 2021,15818.25,15813.75,15914.2,15801,391410742,-0.10%
05 Jul 2021,15834.35,15793.4,15845.95,15762.05,207032153,0.71%
02 Jul 2021,15722.2,15705.85,15738.35,15635.95,254808999,0.27%
01 Jul 2021,15680,15755.05,15755.55,15667.05,224921644,-0.26%
30 Jun 2021,15721.5,15776.9,15839.1,15708.75,262386323,-0.17%
29 Jun 2021,15748.45,15807.5,15835.9,15724.05,360334724,-0.42%
28 Jun 2021,15814.7,15915.35,15915.65,15792.15,255099272,-0.29%
25 Jun 2021,15860.35,15839.35,15870.8,15772.3,314614380,0.44%
24 Jun 2021,15790.45,15737.3,15821.4,15702.7,316662241,0.66%
23 Jun 2021,15686.95,15862.8,15862.95,15673.95,287536735,-0.54%
22 Jun 2021,15772.75,15840.5,15895.75,15752.1,322237561,0.17%
21 Jun 2021,15746.5,15525.85,15765.15,15505.65,351530072,0.40%
18 Jun 2021,15683.35,15756.5,15761.5,15450.9,640821642,-0.05%
